Comment,Designator,Footprint,MPN
10uF,"C1,C3,C15",Capacitor_SMD:C_0603_1608Metric,GRM188R61A106ME69D
4.7uF,C2,Capacitor_SMD:C_0603_1608Metric,CL10A475KO8NNNC 
100nF,"C4,C16,C30,C32,C34,C36,C39",Capacitor_SMD:C_0402_1005Metric,CL05B104KP5NNNC
1uF,"C14,C35,C38",Capacitor_SMD:C_0402_1005Metric,CL05A105KO5NNNC
0.01uF,"C17,C23,C29,C31",Capacitor_SMD:C_0402_1005Metric,GRM155R71C103KA01D
SN65DSI84TPAPRQ1,IC1,QFP50P1200X1200X120-65N,SN65DSI84TPAPRQ1
Barrel_Jack,"J1,J6",Pattern:CUI_PJ-037AH,PJ-037AH
Conn_01x22_Socket,J2,Connector_FFC-FPC:TE_2-1734839-2_1x22-1MP_P0.5mm_Horizontal,2-1734839-2 / FH12-22S-0.5SH(55)
Conn_02x20_Odd_Even,J5,Connector_PinHeader_2.00mm:PinHeader_2x20_P2.00mm_Vertical,57102-G06-20LF
Conn_02x20_Odd_Even,J3,Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical,SFH11-PBPC-D20-ST-BK
20455-030E-76,J4,Pattern:IPEX_20455-030E-76,20455-030E-76
2.2uH,L1,Pattern:Induct,MHCI05018-2R2M-R8A 
100k,R1,Resistor_SMD:R_0402_1005Metric,RC0402FR-07100KL
4.7k,"R2,R3",Resistor_SMD:R_0402_1005Metric,RC0402JR-074K7L
0R,"R4,R6,R7,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28",Resistor_SMD:R_0402_1005Metric,RC1005J000CS
200k,R5,Resistor_SMD:R_0402_1005Metric,RC0402FR-07200KL 
1k,R8,Resistor_SMD:R_0402_1005Metric,RC0402JR-071KL
0R-DNP,R9,Resistor_SMD:R_0402_1005Metric,DNP
TLV62569DBVR,U1,Pattern:SOT95P280X145-5N,TLV62569DBVR
TXB0104RGY,U4,Package_DFN_QFN:Texas_S-PVQFN-N14,TXB0104RGYR
74LVC1G07,U5,Package_TO_SOT_SMD:SOT-353_SC-70-5,SN74LVC1G07DCKR
ASCO,X1,Oscillator:Oscillator_SMD_Abracon_ASCO-4Pin_1.6x1.2mm,ASCO2-27.000MHZ-EK-T3